#SampleID	Type_of_sample	Day_of_life_tissue	Day_of_life	Treatment	Group	sample_name	Sex	MouseID	Treatment_Sex	Description
S02.3	Fecal	21	21	Control	Control_SPF	S02	Male	S02	Control Male	S02.3
S03.3	Fecal	21	21	Control	Control_SPF	S03	Male	S03	Control Male	S03.3
S07.3	Fecal	21	21	Control	Control_SPF	S07	Male	S07	Control Male	S07.3
S08.3	Fecal	21	21	Control	Control_SPF	S08	Male	S08	Control Male	S08.3
S14.3	Fecal	21	21	Control	Control_SPF	S14	Male	S14	Control Male	S14.3
S01.3	Fecal	21	21	Control	Control_SPF	S01	Female	S01	Control Female	S01.3
S04.3	Fecal	21	21	Control	Control_SPF	S04	Female	S04	Control Female	S04.3
S10.3	Fecal	21	21	Control	Control_SPF	S10	Female	S10	Control Female	S10.3
S11.3	Fecal	21	21	Control	Control_SPF	S11	Female	S11	Control Female	S11.3
S05.3	Fecal	21	21	Control	Control_SPF	S05	Female	S05	Control Female	S05.3
S06.3	Fecal	21	21	Control	Control_SPF	S06	Female	S06	Control Female	S06.3
S09.3	Fecal	21	21	Control	Control_SPF	S09	Female	S09	Control Female	S09.3
S12.3	Fecal	21	21	Control	Control_SPF	S12	Female	S12	Control Female	S12.3
S13.3	Fecal	21	21	Control	Control_SPF	S13	Female	S13	Control Female	S13.3
S15.3	Fecal	21	21	Control	Control_SPF	S15	Female	S15	Control Female	S15.3
S06.4	Cecal	50	Cecal	Control	Control_SPF	S06	Female	S06	Control Female	S06.4
S02.4	Cecal	50	Cecal	Control	Control_SPF	S02	Male	S02	Control Male	S02.4
S03.4	Cecal	50	Cecal	Control	Control_SPF	S03	Male	S03	Control Male	S03.4
S07.4	Cecal	50	Cecal	Control	Control_SPF	S07	Male	S07	Control Male	S07.4
S08.4	Cecal	50	Cecal	Control	Control_SPF	S08	Male	S08	Control Male	S08.4
S14.4	Cecal	50	Cecal	Control	Control_SPF	S14	Male	S14	Control Male	S14.4
S01.4	Cecal	50	Cecal	Control	Control_SPF	S01	Female	S01	Control Female	S01.4
S04.4	Cecal	50	Cecal	Control	Control_SPF	S04	Female	S04	Control Female	S04.4
S10.4	Cecal	50	Cecal	Control	Control_SPF	S10	Female	S10	Control Female	S10.4
S11.4	Cecal	50	Cecal	Control	Control_SPF	S11	Female	S11	Control Female	S11.4
S05.4	Cecal	50	Cecal	Control	Control_SPF	S05	Female	S05	Control Female	S05.4
S09.4	Cecal	50	Cecal	Control	Control_SPF	S09	Female	S09	Control Female	S09.4
S12.4	Cecal	50	Cecal	Control	Control_SPF	S12	Female	S12	Control Female	S12.4
S13.4	Cecal	50	Cecal	Control	Control_SPF	S13	Female	S13	Control Female	S13.4
S15.4	Cecal	50	Cecal	Control	Control_SPF	S15	Female	S15	Control Female	S15.4
S02.5	Colon	50	Colon	Control	Control_SPF	S02	Male	S02	Control Male	S02.5
S03.5	Colon	50	Colon	Control	Control_SPF	S03	Male	S03	Control Male	S03.5
S07.5	Colon	50	Colon	Control	Control_SPF	S07	Male	S07	Control Male	S07.5
S08.5	Colon	50	Colon	Control	Control_SPF	S08	Male	S08	Control Male	S08.5
S14.5	Colon	50	Colon	Control	Control_SPF	S14	Male	S14	Control Male	S14.5
S01.5	Colon	50	Colon	Control	Control_SPF	S01	Female	S01	Control Female	S01.5
S04.5	Colon	50	Colon	Control	Control_SPF	S04	Female	S04	Control Female	S04.5
S11.5	Colon	50	Colon	Control	Control_SPF	S11	Female	S11	Control Female	S11.5
S10.5	Colon	50	Colon	Control	Control_SPF	S10	Female	S10	Control Female	S10.5
S05.5	Colon	50	Colon	Control	Control_SPF	S05	Female	S05	Control Female	S05.5
S09.5	Colon	50	Colon	Control	Control_SPF	S09	Female	S09	Control Female	S09.5
S12.5	Colon	50	Colon	Control	Control_SPF	S12	Female	S12	Control Female	S12.5
S13.5	Colon	50	Colon	Control	Control_SPF	S13	Female	S13	Control Female	S13.5
S15.5	Colon	50	Colon	Control	Control_SPF	S15	Female	S15	Control Female	S15.5
S02.7	Lumen	50	Lumen	Control	Control_SPF	S02	Male	S02	Control Male	S02.7
S03.7	Lumen	50	Lumen	Control	Control_SPF	S03	Male	S03	Control Male	S03.7
S07.7	Lumen	50	Lumen	Control	Control_SPF	S07	Male	S07	Control Male	S07.7
S08.7	Lumen	50	Lumen	Control	Control_SPF	S08	Male	S08	Control Male	S08.7
S14.7	Lumen	50	Lumen	Control	Control_SPF	S14	Male	S14	Control Male	S14.7
S01.7	Lumen	50	Lumen	Control	Control_SPF	S01	Female	S01	Control Female	S01.7
S04.7	Lumen	50	Lumen	Control	Control_SPF	S04	Female	S04	Control Female	S04.7
S10.7	Lumen	50	Lumen	Control	Control_SPF	S10	Female	S10	Control Female	S10.7
S11.7	Lumen	50	Lumen	Control	Control_SPF	S11	Female	S11	Control Female	S11.7
S05.7	Lumen	50	Lumen	Control	Control_SPF	S05	Female	S05	Control Female	S05.7
S06.7	Lumen	50	Lumen	Control	Control_SPF	S06	Female	S06	Control Female	S06.7
S09.7	Lumen	50	Lumen	Control	Control_SPF	S09	Female	S09	Control Female	S09.7
S12.7	Lumen	50	Lumen	Control	Control_SPF	S12	Female	S12	Control Female	S12.7
S13.7	Lumen	50	Lumen	Control	Control_SPF	S13	Female	S13	Control Female	S13.7
S15.7	Lumen	50	Lumen	Control	Control_SPF	S15	Female	S15	Control Female	S15.7
S17.3	Fecal	21	21	PAT	PAT_SPF	S17	Male	S17	PAT Male	S17.3
S21.3	Fecal	21	21	PAT	PAT_SPF	S21	Male	S21	PAT Male	S21.3
S29.3	Fecal	21	21	PAT	PAT_SPF	S29	Male	S29	PAT Male	S29.3
S30.3	Fecal	21	21	PAT	PAT_SPF	S30	Male	S30	PAT Male	S30.3
S26.3	Fecal	21	21	PAT	PAT_SPF	S26	Male	S26	PAT Male	S26.3
S25.3	Fecal	21	21	PAT	PAT_SPF	S25	Female	S25	PAT Female	S25.3
S19.3	Fecal	21	21	PAT	PAT_SPF	S19	Female	S19	PAT Female	S19.3
S20.3	Fecal	21	21	PAT	PAT_SPF	S20	Female	S20	PAT Female	S20.3
S16.3	Fecal	21	21	PAT	PAT_SPF	S16	Female	S16	PAT Female	S16.3
S22.3	Fecal	21	21	PAT	PAT_SPF	S22	Female	S22	PAT Female	S22.3
S23.3	Fecal	21	21	PAT	PAT_SPF	S23	Female	S23	PAT Female	S23.3
S27.3	Fecal	21	21	PAT	PAT_SPF	S27	Male	S27	PAT Male	S27.3
S24.3	Fecal	21	21	PAT	PAT_SPF	S24	Female	S24	PAT Female	S24.3
S21.4	Cecal	50	Cecal	PAT	PAT_SPF	S21	Male	S21	PAT Male	S21.4
S17.4	Cecal	50	Cecal	PAT	PAT_SPF	S17	Male	S17	PAT Male	S17.4
S29.4	Cecal	50	Cecal	PAT	PAT_SPF	S29	Male	S29	PAT Male	S29.4
S30.4	Cecal	50	Cecal	PAT	PAT_SPF	S30	Male	S30	PAT Male	S30.4
S26.4	Cecal	50	Cecal	PAT	PAT_SPF	S26	Male	S26	PAT Male	S26.4
S25.4	Cecal	50	Cecal	PAT	PAT_SPF	S25	Female	S25	PAT Female	S25.4
S19.4	Cecal	50	Cecal	PAT	PAT_SPF	S19	Female	S19	PAT Female	S19.4
S20.4	Cecal	50	Cecal	PAT	PAT_SPF	S20	Female	S20	PAT Female	S20.4
S16.4	Cecal	50	Cecal	PAT	PAT_SPF	S16	Female	S16	PAT Female	S16.4
S22.4	Cecal	50	Cecal	PAT	PAT_SPF	S22	Female	S22	PAT Female	S22.4
S23.4	Cecal	50	Cecal	PAT	PAT_SPF	S23	Female	S23	PAT Female	S23.4
S27.4	Cecal	50	Cecal	PAT	PAT_SPF	S27	Male	S27	PAT Male	S27.4
S24.4	Cecal	50	Cecal	PAT	PAT_SPF	S24	Female	S24	PAT Female	S24.4
S17.5	Colon	50	Colon	PAT	PAT_SPF	S17	Male	S17	PAT Male	S17.5
S21.5	Colon	50	Colon	PAT	PAT_SPF	S21	Male	S21	PAT Male	S21.5
S29.5	Colon	50	Colon	PAT	PAT_SPF	S29	Male	S29	PAT Male	S29.5
S30.5	Colon	50	Colon	PAT	PAT_SPF	S30	Male	S30	PAT Male	S30.5
S26.5	Colon	50	Colon	PAT	PAT_SPF	S26	Male	S26	PAT Male	S26.5
S25.5	Colon	50	Colon	PAT	PAT_SPF	S25	Female	S25	PAT Female	S25.5
S19.5	Colon	50	Colon	PAT	PAT_SPF	S19	Female	S19	PAT Female	S19.5
S20.5	Colon	50	Colon	PAT	PAT_SPF	S20	Female	S20	PAT Female	S20.5
S16.5	Colon	50	Colon	PAT	PAT_SPF	S16	Female	S16	PAT Female	S16.5
S22.5	Colon	50	Colon	PAT	PAT_SPF	S22	Female	S22	PAT Female	S22.5
S23.5	Colon	50	Colon	PAT	PAT_SPF	S23	Female	S23	PAT Female	S23.5
S27.5	Colon	50	Colon	PAT	PAT_SPF	S27	Male	S27	PAT Male	S27.5
S17.7	Lumen	50	Lumen	PAT	PAT_SPF	S17	Male	S17	PAT Male	S17.7
S21.7	Lumen	50	Lumen	PAT	PAT_SPF	S21	Male	S21	PAT Male	S21.7
S29.7	Lumen	50	Lumen	PAT	PAT_SPF	S29	Male	S29	PAT Male	S29.7
S30.7	Lumen	50	Lumen	PAT	PAT_SPF	S30	Male	S30	PAT Male	S30.7
S26.7	Lumen	50	Lumen	PAT	PAT_SPF	S26	Male	S26	PAT Male	S26.7
S25.7	Lumen	50	Lumen	PAT	PAT_SPF	S25	Female	S25	PAT Female	S25.7
S19.7	Lumen	50	Lumen	PAT	PAT_SPF	S19	Female	S19	PAT Female	S19.7
S20.7	Lumen	50	Lumen	PAT	PAT_SPF	S20	Female	S20	PAT Female	S20.7
S16.7	Lumen	50	Lumen	PAT	PAT_SPF	S16	Female	S16	PAT Female	S16.7
S22.7	Lumen	50	Lumen	PAT	PAT_SPF	S22	Female	S22	PAT Female	S22.7
S23.7	Lumen	50	Lumen	PAT	PAT_SPF	S23	Female	S23	PAT Female	S23.7
S27.7	Lumen	50	Lumen	PAT	PAT_SPF	S27	Male	S27	PAT Male	S27.7
S24.7	Lumen	50	Lumen	PAT	PAT_SPF	S24	Female	S24	PAT Female	S24.7
