Sample_ID,MouseType,Colonization,Treatment,Group,Sex,SampleType,Day_post_inoculation,IgA_x1000
S37,Pup,Germ-free,Control,Control GF,Male,Luminal,D50,3.212530919
S38,Pup,Germ-free,Control,Control GF,Male,Luminal,D50,3.091499129
S39,Pup,Germ-free,Control,Control GF,Male,Luminal,D50,2.715121361
S40,Pup,Germ-free,PAT,PAT GF,Male,Luminal,D50,2.063380917
S41,Pup,Germ-free,PAT,PAT GF,Male,Luminal,D50,2.202846273
S42,Pup,Germ-free,PAT,PAT GF,Male,Luminal,D50,2.476769084
S43,Pup,Germ-free,PAT,PAT GF,Male,Luminal,D50,3.233370229
S02,Pup,SPF,Control,Control SPF,Male,Luminal,D50,9.894871115
S07,Pup,SPF,Control,Control SPF,Male,Luminal,D50,7.940216622
S17,Pup,SPF,PAT,PAT SPF,Male,Luminal,D50,8.496664486
S21,Pup,SPF,PAT,PAT SPF,Male,Luminal,D50,5.484562261
S29,Pup,SPF,PAT,PAT SPF,Male,Luminal,D50,6.208812909
S30,Pup,SPF,PAT,PAT SPF,Male,Luminal,D50,6.685678723
S14,Pup,SPF,Control,Control SPF,Male,Luminal,D50,9.241856318
S26,Pup,SPF,PAT,PAT SPF,Male,Luminal,D50,5.98693653
S27,Pup,SPF,PAT,PAT SPF,Male,Luminal,D50,7.270759191
S31,Pup,Germ-free,Control,Control GF,Female,Luminal,D50,2.963037288
S24,Pup,SPF,PAT,PAT SPF,Female,Luminal,D50,7.185556531
S25,Pup,SPF,PAT,PAT SPF,Female,Luminal,D50,10.0643425
S09,Pup,SPF,Control,Control SPF,Female,Luminal,D50,12.79504331
S22,Pup,SPF,PAT,PAT SPF,Female,Luminal,D50,6.514009503
S36,Pup,Germ-free,PAT,PAT GF,Female,Luminal,D50,2.713291057
S01,Pup,SPF,Control,Control SPF,Female,Luminal,D50,6.865842276
S04,Pup,SPF,Control,Control SPF,Female,Luminal,D50,8.606726327
S10,Pup,SPF,Control,Control SPF,Female,Luminal,D50,7.259103344
S19,Pup,SPF,PAT,PAT SPF,Female,Luminal,D50,6.724438368
S05,Pup,SPF,Control,Control SPF,Female,Luminal,D50,9.360677568
S06,Pup,SPF,Control,Control SPF,Female,Luminal,D50,11.76485238
S32,Pup,Germ-free,Control,Control GF,Female,Luminal,D50,2.984738053
S12,Pup,SPF,Control,Control SPF,Female,Luminal,D50,7.124429456
S13,Pup,SPF,Control,Control SPF,Female,Luminal,D50,14.95103297
S15,Pup,SPF,Control,Control SPF,Female,Luminal,D50,9.891249206
S33,Pup,Germ-free,Control,Control GF,Female,Luminal,D50,3.48972528
S35,Pup,Germ-free,PAT,PAT GF,Female,Luminal,D50,1.342249927
S20,Pup,SPF,PAT,PAT SPF,Female,Luminal,D50,4.060628154
S16,Pup,SPF,PAT,PAT SPF,Female,Luminal,D50,2.983037681
S11,Pup,SPF,Control,Control SPF,Female,Luminal,D50,6.637100973
S23,Pup,SPF,PAT,PAT SPF,Female,Luminal,D50,5.007660219
