SampleID,Sex,Treatment,Colonization,Cecal_weight_g
S31,Female,Control,GF,2
S32,Female,Control,GF,2.1
S33,Female,Control,GF,1.7
S34,Female,Control,GF,1.9
S37,Male,Control,GF,1.9
S38,Male,Control,GF,2
S39,Male,Control,GF,2.2
S35,Female,PAT,GF,1.3
S36,Female,PAT,GF,1.1
S40,Male,PAT,GF,2.2
S41,Male,PAT,GF,1.7
S42,Male,PAT,GF,1.9
S43,Male,PAT,GF,2.6
S02,Male,Control,SPF,0.5
S03,Male,Control,SPF,0.5
S07,Male,Control,SPF,0.5
S08,Male,Control,SPF,0.5
S17,Male,PAT,SPF,0.6
S21,Male,PAT,SPF,0.4
S26,Male,PAT,SPF,0.6
S27,Male,PAT,SPF,0.6
S14,Male,Control,SPF,0.5
S01,Female,Control,SPF,0.8
S04,Female,Control,SPF,0.3
S05,Female,Control,SPF,0.3
S06,Female,Control,SPF,0.3
S09,Female,Control,SPF,0.4
S28,Male,PAT,SPF,
S10,Female,Control,SPF,0.4
S11,Female,Control,SPF,0.3
S12,Female,Control,SPF,0.4
S13,Female,Control,SPF,0.4
S15,Female,Control,SPF,0.3
S16,Female,PAT,SPF,0.8
S18,Female,PAT,SPF,
S19,Female,PAT,SPF,0.6
S20,Female,PAT,SPF,0.8
S22,Female,PAT,SPF,0.9
S23,Female,PAT,SPF,0.6
S24,Female,PAT,SPF,0.5
S29,Male,PAT,SPF,1
S30,Male,PAT,SPF,1.1
S25,Female,PAT,SPF,0.6
