#SampleID	SampleName	SampleType	Treatment	Gender	Day_after_transfer	Day_after_transfer_tissue	Fraction	Treat_Frac	Description
XR02.76.pre	XR02	Fecal	Control	Female	76	76	Total	Control_Total	76_Control_Total
XR05.76.pre	XR05	Fecal	Control	Female	76	76	Total	Control_Total	76_Control_Total
XR06.76.pre	XR06	Fecal	Control	Female	76	76	Total	Control_Total	76_Control_Total
XR09.76.pre	XR09	Fecal	Control	Male	76	76	Total	Control_Total	76_Control_Total
XR12.76.pre	XR12	Fecal	Control	Male	76	76	Total	Control_Total	76_Control_Total
XR13.76.pre	XR13	Fecal	Control	Male	76	76	Total	Control_Total	76_Control_Total
XR07.76.pre	XR07	Fecal	PAT	Female	76	76	Total	PAT_Total	76_PAT_Total
XR08.76.pre	XR08	Fecal	PAT	Female	76	76	Total	PAT_Total	76_PAT_Total
XR10.76.pre	XR10	Fecal	PAT	Male	76	76	Total	PAT_Total	76_PAT_Total
XR11.76.pre	XR11	Fecal	PAT	Male	76	76	Total	PAT_Total	76_PAT_Total
XR14.76.pre	XR14	Fecal	PAT	Male	76	76	Total	PAT_Total	76_PAT_Total
XR02.76.pos	XR02	Fecal	Control	Female	76	76	IgA+	Control_IgA+	76_Control_IgA+
XR05.76.pos	XR05	Fecal	Control	Female	76	76	IgA+	Control_IgA+	76_Control_IgA+
XR06.76.pos	XR06	Fecal	Control	Female	76	76	IgA+	Control_IgA+	76_Control_IgA+
XR09.76.pos	XR09	Fecal	Control	Male	76	76	IgA+	Control_IgA+	76_Control_IgA+
XR12.76.pos	XR12	Fecal	Control	Male	76	76	IgA+	Control_IgA+	76_Control_IgA+
XR13.76.pos	XR13	Fecal	Control	Male	76	76	IgA+	Control_IgA+	76_Control_IgA+
XR07.76.pos	XR07	Fecal	PAT	Female	76	76	IgA+	PAT_IgA+	76_PAT_IgA+
XR08.76.pos	XR08	Fecal	PAT	Female	76	76	IgA+	PAT_IgA+	76_PAT_IgA+
XR10.76.pos	XR10	Fecal	PAT	Male	76	76	IgA+	PAT_IgA+	76_PAT_IgA+
XR11.76.pos	XR11	Fecal	PAT	Male	76	76	IgA+	PAT_IgA+	76_PAT_IgA+
XR14.76.pos	XR14	Fecal	PAT	Male	76	76	IgA+	PAT_IgA+	76_PAT_IgA+
XR02.76.neg	XR02	Fecal	Control	Female	76	76	IgA-	Control_IgA-	76_Control_IgA-
XR05.76.neg	XR05	Fecal	Control	Female	76	76	IgA-	Control_IgA-	76_Control_IgA-
XR06.76.neg	XR06	Fecal	Control	Female	76	76	IgA-	Control_IgA-	76_Control_IgA-
XR09.76.neg	XR09	Fecal	Control	Male	76	76	IgA-	Control_IgA-	76_Control_IgA-
XR12.76.neg	XR12	Fecal	Control	Male	76	76	IgA-	Control_IgA-	76_Control_IgA-
XR13.76.neg	XR13	Fecal	Control	Male	76	76	IgA-	Control_IgA-	76_Control_IgA-
XR07.76.neg	XR07	Fecal	PAT	Female	76	76	IgA-	PAT_IgA-	76_PAT_IgA-
XR08.76.neg	XR08	Fecal	PAT	Female	76	76	IgA-	PAT_IgA-	76_PAT_IgA-
XR10.76.neg	XR10	Fecal	PAT	Male	76	76	IgA-	PAT_IgA-	76_PAT_IgA-
XR11.76.neg	XR11	Fecal	PAT	Male	76	76	IgA-	PAT_IgA-	76_PAT_IgA-
XR14.76.neg	XR14	Fecal	PAT	Male	76	76	IgA-	PAT_IgA-	76_PAT_IgA-
XR02.29.pre	XR02	Fecal	Control	Female	29	29	Total	Control_Total	29_Control_Total
XR05.29.pre	XR05	Fecal	Control	Female	29	29	Total	Control_Total	29_Control_Total
XR06.29.pre	XR06	Fecal	Control	Female	29	29	Total	Control_Total	29_Control_Total
XR09.29.pre	XR09	Fecal	Control	Male	29	29	Total	Control_Total	29_Control_Total
XR12.29.pre	XR12	Fecal	Control	Male	29	29	Total	Control_Total	29_Control_Total
XR13.29.pre	XR13	Fecal	Control	Male	29	29	Total	Control_Total	29_Control_Total
XR04.29.pre	XR04	Fecal	PAT	Female	29	29	Total	PAT_Total	29_PAT_Total
XR07.29.pre	XR07	Fecal	PAT	Female	29	29	Total	PAT_Total	29_PAT_Total
XR08.29.pre	XR08	Fecal	PAT	Female	29	29	Total	PAT_Total	29_PAT_Total
XR10.29.pre	XR10	Fecal	PAT	Male	29	29	Total	PAT_Total	29_PAT_Total
XR11.29.pre	XR11	Fecal	PAT	Male	29	29	Total	PAT_Total	29_PAT_Total
XR14.29.pre	XR14	Fecal	PAT	Male	29	29	Total	PAT_Total	29_PAT_Total
XR02.29.pos	XR02	Fecal	Control	Female	29	29	IgA+	Control_IgA+	29_Control_IgA+
XR05.29.pos	XR05	Fecal	Control	Female	29	29	IgA+	Control_IgA+	29_Control_IgA+
XR06.29.pos	XR06	Fecal	Control	Female	29	29	IgA+	Control_IgA+	29_Control_IgA+
XR09.29.pos	XR09	Fecal	Control	Male	29	29	IgA+	Control_IgA+	29_Control_IgA+
XR12.29.pos	XR12	Fecal	Control	Male	29	29	IgA+	Control_IgA+	29_Control_IgA+
XR13.29.pos	XR13	Fecal	Control	Male	29	29	IgA+	Control_IgA+	29_Control_IgA+
XR04.29.pos	XR04	Fecal	PAT	Female	29	29	IgA+	PAT_IgA+	29_PAT_IgA+
XR07.29.pos	XR07	Fecal	PAT	Female	29	29	IgA+	PAT_IgA+	29_PAT_IgA+
XR08.29.pos	XR08	Fecal	PAT	Female	29	29	IgA+	PAT_IgA+	29_PAT_IgA+
XR10.29.pos	XR10	Fecal	PAT	Male	29	29	IgA+	PAT_IgA+	29_PAT_IgA+
XR11.29.pos	XR11	Fecal	PAT	Male	29	29	IgA+	PAT_IgA+	29_PAT_IgA+
XR14.29.pos	XR14	Fecal	PAT	Male	29	29	IgA+	PAT_IgA+	29_PAT_IgA+
XR02.29.neg	XR02	Fecal	Control	Female	29	29	IgA-	Control_IgA-	29_Control_IgA-
XR05.29.neg	XR05	Fecal	Control	Female	29	29	IgA-	Control_IgA-	29_Control_IgA-
XR06.29.neg	XR06	Fecal	Control	Female	29	29	IgA-	Control_IgA-	29_Control_IgA-
XR09.29.neg	XR09	Fecal	Control	Male	29	29	IgA-	Control_IgA-	29_Control_IgA-
XR12.29.neg	XR12	Fecal	Control	Male	29	29	IgA-	Control_IgA-	29_Control_IgA-
XR13.29.neg	XR13	Fecal	Control	Male	29	29	IgA-	Control_IgA-	29_Control_IgA-
XR04.29.neg	XR04	Fecal	PAT	Female	29	29	IgA-	PAT_IgA-	29_PAT_IgA-
