#SampleID	Sample_number	Sex	Treatment	Treatment_sex	Breeder_Pup	Type_of_sample	Day_of_life	Day_of_life_tissue	Week_of_life	Treatment_Day	Date_collected	DNA_extraction_date	Weight_of_pellet	Description
B11.12	B11	Female	PAT	PAT_Female	Breeder	Fecal	5	5	1	Day_5_post_birth	2.26.2113	7.17.2013	23.8	B11.12
B14.12	B14	Female	PAT	PAT_Female	Breeder	Fecal	5	5	1	Day_5_post_birth	2.26.2113	7.17.2013	27.5	B14.12
B17.12	B17	Female	PAT	PAT_Female	Breeder	Fecal	5	5	1	Day_5_post_birth	2.26.2113	7.17.2013	32.4	B17.12
B18.12	B18	Female	Control	Control_Female	Breeder	Fecal	5	5	1	Day_5_post_birth	2.25.2013	7.17.2013	63.8	B18.12
B20.12	B20	Female	PAT	PAT_Female	Breeder	Fecal	5	5	1	Day_5_post_birth	2.25.2013	7.17.2013	21.6	B20.12
B21.12	B21	Female	PAT	PAT_Female	Breeder	Fecal	5	5	1	Day_5_post_birth	2.26.2113	7.17.2013	38.7	B21.12
B22.12	B22	Female	PAT	PAT_Female	Breeder	Fecal	5	5	1	Day_5_post_birth	2.25.2013	7.17.2013	42.8	B22.12
B23.12	B23	Female	PAT	PAT_Female	Breeder	Fecal	5	5	1	Day_5_post_birth	2.26.2113	7.17.2013	72.1	B23.12
B25.12	B25	Female	Control	Control_Female	Breeder	Fecal	5	5	1	Day_5_post_birth	2.26.2113	7.17.2013	18.7	B25.12
B26.12	B26	Female	Control	Control_Female	Breeder	Fecal	5	5	1	Day_5_post_birth	2.26.2113	7.17.2013	39.2	B26.12
B11.13	B11	Female	PAT	PAT_Female	Breeder	Fecal	10	10	1	Day_10_post_birth	3.3.2113	7.17.2013	30.3	B11.13
B14.13	B14	Female	PAT	PAT_Female	Breeder	Fecal	10	10	1	Day_10_post_birth	3.3.2113	7.17.2013	44.9	B14.13
B17.13	B17	Female	PAT	PAT_Female	Breeder	Fecal	10	10	1	Day_10_post_birth	3.3.2113	7.17.2013	60.4	B17.13
B18.13	B18	Female	Control	Control_Female	Breeder	Fecal	10	10	1	Day_10_post_birth	3.2.2013	7.17.2013	82.7	B18.13
B20.13	B20	Female	PAT	PAT_Female	Breeder	Fecal	10	10	1	Day_10_post_birth	3.2.2013	7.17.2013	40.2	B20.13
B21.13	B21	Female	PAT	PAT_Female	Breeder	Fecal	10	10	1	Day_10_post_birth	3.3.2113	7.17.2013	58.4	B21.13
B22.13	B22	Female	PAT	PAT_Female	Breeder	Fecal	10	10	1	Day_10_post_birth	3.2.2013	7.17.2013	107.3	B22.13
B23.13	B23	Female	PAT	PAT_Female	Breeder	Fecal	10	10	1	Day_10_post_birth	3.3.2113	7.17.2013	38	B23.13
B25.13	B25	Female	Control	Control_Female	Breeder	Fecal	10	10	1	Day_10_post_birth	3.3.2113	7.17.2013	48.6	B25.13
B26.13	B26	Female	Control	Control_Female	Breeder	Fecal	10	10	1	Day_10_post_birth	3.3.2113	7.17.2013	48.8	B26.13
B11.14	B11	Female	PAT	PAT_Female	Breeder	Fecal	12	12	2	Day_12_post_birth	3.5.2113	7.17.2013	71.9	B11.14
B14.14	B14	Female	PAT	PAT_Female	Breeder	Fecal	12	12	2	Day_12_post_birth	3.5.2113	7.17.2013	53.2	B14.14
B17.14	B17	Female	PAT	PAT_Female	Breeder	Fecal	12	12	2	Day_12_post_birth	3.5.2113	7.17.2013	69.4	B17.14
B18.14	B18	Female	Control	Control_Female	Breeder	Fecal	12	12	2	Day_12_post_birth	3.4.2013	7.17.2013	62.5	B18.14
B20.14	B20	Female	PAT	PAT_Female	Breeder	Fecal	12	12	2	Day_12_post_birth	3.4.2013	7.17.2013	94.5	B20.14
B21.14	B21	Female	PAT	PAT_Female	Breeder	Fecal	12	12	2	Day_12_post_birth	3.5.2113	7.17.2013	65.2	B21.14
B22.14	B22	Female	PAT	PAT_Female	Breeder	Fecal	12	12	2	Day_12_post_birth	3.4.2013	7.17.2013	173.6	B22.14
B23.14	B23	Female	PAT	PAT_Female	Breeder	Fecal	12	12	2	Day_12_post_birth	3.5.2113	7.17.2013	85.9	B23.14
B25.14	B25	Female	Control	Control_Female	Breeder	Fecal	12	12	2	Day_12_post_birth	3.5.2113	7.17.2013	31.5	B25.14
B11.16	B11	Female	PAT	PAT_Female	Breeder	Fecal	21	21	3	Day_21_post_birth	3.14.2013	7.17.2013	123	B11.16
B14.16	B14	Female	PAT	PAT_Female	Breeder	Fecal	21	21	3	Day_21_post_birth	3.14.2013	7.17.2013	41.8	B14.16
B17.16	B17	Female	PAT	PAT_Female	Breeder	Fecal	21	21	3	Day_21_post_birth	3.14.2013	7.17.2013	82.3	B17.16
B18.16	B18	Female	Control	Control_Female	Breeder	Fecal	21	21	3	Day_21_post_birth	3.13.2013	7.17.2013	104.8	B18.16
B20.16	B20	Female	PAT	PAT_Female	Breeder	Fecal	21	21	3	Day_21_post_birth	3.13.2013	7.17.2013	105.6	B20.16
B21.16	B21	Female	PAT	PAT_Female	Breeder	Fecal	21	21	3	Day_21_post_birth	3.14.2013	7.17.2013	104.9	B21.16
