Sample_ID,MouseType,SampleType,Treatment,Sex,Dam,Cage,Day,IgA_x1000
EP01,Pups,Fecal,Control,Female,B18,312,Day40,39.02888532
EP46,Pups,Fecal,Control,Female,B26,318,Day40,32.29915139
EP47,Pups,Fecal,Control,Female,B26,318,Day40,27.88766057
EP02,Pups,Fecal,Control,Male,B18,311,Day40,37.90065513
EP03,Pups,Fecal,Control,Male,B18,311,Day40,43.09611408
EP41,Pups,Fecal,Control,Male,B25,316,Day40,29.46694897
EP42,Pups,Fecal,Control,Male,B25,316,Day40,32.07664635
EP43,Pups,Fecal,Control,Male,B25,316,Day40,47.08448407
EP44,Pups,Fecal,Control,Male,B25,316,Day40,33.20182007
EP45,Pups,Fecal,Control,Male,B26,317,Day40,23.32508508
EP48,Pups,Fecal,Control,Male,B26,317,Day40,24.40096035
EP49,Pups,Fecal,Control,Male,B26,317,Day40,36.1558257
EP04,Pups,Fecal,PAT1,Female,B20,313,Day40,22.78072534
EP06,Pups,Fecal,PAT1,Female,B22,313,Day40,37.51009135
EP07,Pups,Fecal,PAT1,Female,B22,313,Day40,36.30583494
EP12,Pups,Fecal,PAT1,Female,B11,320,Day40,11.3529981
EP13,Pups,Fecal,PAT1,Female,B11,320,Day40,9.10640202
EP16,Pups,Fecal,PAT1,Female,B11,320,Day40,10.42842304
EP32,Pups,Fecal,PAT1,Female,B21,329,Day40,10.79479952
EP33,Pups,Fecal,PAT1,Female,B21,329,Day40,11.16891432
EP05,Pups,Fecal,PAT1,Male,B20,314,Day40,19.83449995
EP11,Pups,Fecal,PAT1,Male,B22,314,Day40,16.69732702
EP14,Pups,Fecal,PAT1,Male,B11,321,Day40,18.26479436
EP15,Pups,Fecal,PAT1,Male,B11,321,Day40,25.45874969
EP17,Pups,Fecal,PAT1,Male,B11,321,Day40,23.37436067
EP18,Pups,Fecal,PAT1,Male,B14,322,Day40,6.44210471
EP19,Pups,Fecal,PAT1,Male,B14,322,Day40,5.69837617
EP21,Pups,Fecal,PAT1,Male,B14,322,Day40,5.15926976
EP23,Pups,Fecal,PAT1,Male,B14,322,Day40,8.1919412
EP08,Pups,Fecal,PAT3,Female,B22,315,Day40,7.17431401
EP09,Pups,Fecal,PAT3,Female,B22,315,Day40,12.91909142
EP10,Pups,Fecal,PAT3,Female,B22,315,Day40,15.59736574
EP20,Pups,Fecal,PAT3,Female,B14,323,Day40,7.58558875
EP22,Pups,Fecal,PAT3,Female,B14,323,Day40,6.3310209
EP27,Pups,Fecal,PAT3,Female,B17,327,Day40,9.26778854
EP28,Pups,Fecal,PAT3,Female,B17,327,Day40,13.07032033
EP37,Pups,Fecal,PAT3,Female,B23,327,Day40,8.61029386
EP39,Pups,Fecal,PAT3,Female,B23,327,Day40,9.43188158
EP24,Pups,Fecal,PAT3,Male,B17,324,Day40,8.84809407
EP25,Pups,Fecal,PAT3,Male,B17,324,Day40,8.96452854
EP26,Pups,Fecal,PAT3,Male,B17,324,Day40,9.07569531
EP29,Pups,Fecal,PAT3,Male,B17,324,Day40,9.87907402
EP30,Pups,Fecal,PAT3,Male,B21,328,Day40,8.13106593
EP34,Pups,Fecal,PAT3,Male,B21,328,Day40,10.34238491
EP35,Pups,Fecal,PAT3,Male,B21,328,Day40,7.35172952
EP36,Pups,Fecal,PAT3,Male,B23,326,Day40,7.53363646
EP38,Pups,Fecal,PAT3,Male,B23,326,Day40,10.77902229
EP40,Pups,Fecal,PAT3,Male,B23,326,Day40,15.47203176
EP01,Pups,Fecal,Control,Female,B18,312,Day27,1.58876492
EP46,Pups,Fecal,Control,Female,B26,318,Day27,6.87779647
EP47,Pups,Fecal,Control,Female,B26,318,Day27,7.44153745
EP02,Pups,Fecal,Control,Male,B18,311,Day27,1.85609333
EP03,Pups,Fecal,Control,Male,B18,311,Day27,6.44502994
EP41,Pups,Fecal,Control,Male,B25,316,Day27,9.40651552
EP42,Pups,Fecal,Control,Male,B25,316,Day27,6.27873676
EP43,Pups,Fecal,Control,Male,B25,316,Day27,12.1142054
EP44,Pups,Fecal,Control,Male,B25,316,Day27,16.74937689
EP45,Pups,Fecal,Control,Male,B26,317,Day27,10.36109235
EP48,Pups,Fecal,Control,Male,B26,317,Day27,10.89631298
EP49,Pups,Fecal,Control,Male,B26,317,Day27,9.33479512
EP04,Pups,Fecal,PAT1,Female,B20,313,Day27,4.16752327
EP06,Pups,Fecal,PAT1,Female,B22,313,Day27,1.24411826
EP07,Pups,Fecal,PAT1,Female,B22,313,Day27,1.83574141
EP12,Pups,Fecal,PAT1,Female,B11,320,Day27,2.00529258
EP13,Pups,Fecal,PAT1,Female,B11,320,Day27,1.28831896
EP16,Pups,Fecal,PAT1,Female,B11,320,Day27,2.07376252
EP32,Pups,Fecal,PAT1,Female,B21,329,Day27,3.06686278
EP33,Pups,Fecal,PAT1,Female,B21,329,Day27,4.46680077
EP05,Pups,Fecal,PAT1,Male,B20,314,Day27,3.65870298
EP11,Pups,Fecal,PAT1,Male,B22,314,Day27,1.37257089
EP14,Pups,Fecal,PAT1,Male,B11,321,Day27,1.98369862
EP15,Pups,Fecal,PAT1,Male,B11,321,Day27,1.49399211
EP17,Pups,Fecal,PAT1,Male,B11,321,Day27,1.06075097
EP18,Pups,Fecal,PAT1,Male,B14,322,Day27,0.88017615
EP19,Pups,Fecal,PAT1,Male,B14,322,Day27,0.85984965
EP21,Pups,Fecal,PAT1,Male,B14,322,Day27,0.64483706
EP23,Pups,Fecal,PAT1,Male,B14,322,Day27,1.1136959
EP08,Pups,Fecal,PAT3,Female,B22,315,Day27,0.33851285
EP09,Pups,Fecal,PAT3,Female,B22,315,Day27,0.66025109
EP10,Pups,Fecal,PAT3,Female,B22,315,Day27,0.20172894
EP20,Pups,Fecal,PAT3,Female,B14,323,Day27,2.08763676
EP22,Pups,Fecal,PAT3,Female,B14,323,Day27,1.13230448
EP27,Pups,Fecal,PAT3,Female,B17,327,Day27,4.38638595
EP28,Pups,Fecal,PAT3,Female,B17,327,Day27,4.12107203
EP37,Pups,Fecal,PAT3,Female,B23,327,Day27,0.06620441
EP39,Pups,Fecal,PAT3,Female,B23,327,Day27,0.57110338
EP24,Pups,Fecal,PAT3,Male,B17,324,Day27,7.56314036
EP25,Pups,Fecal,PAT3,Male,B17,324,Day27,4.43264016
EP26,Pups,Fecal,PAT3,Male,B17,324,Day27,6.7583699
EP29,Pups,Fecal,PAT3,Male,B17,324,Day27,1.07107129
EP30,Pups,Fecal,PAT3,Male,B21,328,Day27,2.19277088
EP34,Pups,Fecal,PAT3,Male,B21,328,Day27,3.54432423
EP35,Pups,Fecal,PAT3,Male,B21,328,Day27,5.3901766
EP36,Pups,Fecal,PAT3,Male,B23,326,Day27,1.03096543
EP38,Pups,Fecal,PAT3,Male,B23,326,Day27,0
EP40,Pups,Fecal,PAT3,Male,B23,326,Day27,0.54124505
B18,Dams,Fecal,Control,Female,NA,NA,Day27,35.43184348
B25,Dams,Fecal,Control,Female,NA,NA,Day27,37.62840014
B26,Dams,Fecal,Control,Female,NA,NA,Day27,13.18868007
B11,Dams,Fecal,PAT,Female,NA,NA,Day27,17.14080876
B14,Dams,Fecal,PAT,Female,NA,NA,Day27,19.97278085
B20,Dams,Fecal,PAT,Female,NA,NA,Day27,17.06841
B17,Dams,Fecal,PAT,Female,NA,NA,Day27,16.10955538
B21,Dams,Fecal,PAT,Female,NA,NA,Day27,23.22409576
B22,Dams,Fecal,PAT,Female,NA,NA,Day27,32.41085522
B23,Dams,Fecal,PAT,Female,NA,NA,Day27,24.59086664
