Sample_ID,MouseType,SampleType,Treatment,Sex,IgA_x1000
EP41,Pups,Serum,Control,Male,9.62053
EP42,Pups,Serum,Control,Male,71.4622
EP43,Pups,Serum,Control,Male,35.8357
EP44,Pups,Serum,Control,Male,22.82148
EP01,Pups,Serum,Control,Female,7.956482
EP46,Pups,Serum,Control,Female,8.58862
EP47,Pups,Serum,Control,Female,7.11526
EP45,Pups,Serum,Control,Male,20.99496
EP48,Pups,Serum,Control,Male,14.95308
EP49,Pups,Serum,Control,Male,13.43602
EP02,Pups,Serum,Control,Male,27.75308
EP03,Pups,Serum,Control,Male,7.041557
EP05,Pups,Serum,PAT1,Male,4.967936
EP11,Pups,Serum,PAT1,Male,4.330952
EP14,Pups,Serum,PAT1,Male,7.262758
EP15,Pups,Serum,PAT1,Male,9.753787
EP04,Pups,Serum,PAT1,Female,4.875193
EP06,Pups,Serum,PAT1,Female,5.959976
EP07,Pups,Serum,PAT1,Female,4.792616
EP12,Pups,Serum,PAT1,Female,2.716188
EP24,Pups,Serum,PAT1,Female,4.751281
EP25,Pups,Serum,PAT1,Female,4.989451
EP26,Pups,Serum,PAT1,Female,5.626611
EP29,Pups,Serum,PAT1,Female,8.248156
EP17,Pups,Serum,PAT1,Male,5.874405
EP18,Pups,Serum,PAT1,Male,4.471191
EP19,Pups,Serum,PAT1,Male,4.044764
 EP21,Pups,Serum,PAT1,Male,4.610538
EP23,Pups,Serum,PAT1,Male,3.835246
EP24,Pups,Serum,PAT3,Male,7.777065
EP25,Pups,Serum,PAT3,Male,6.814019
EP26,Pups,Serum,PAT3,Male,5.730375
EP29,Pups,Serum,PAT3,Male,6.49172
EP08,Pups,Serum,PAT3,Female,4.584357
EP09,Pups,Serum,PAT3,Female,4.574534
EP10,Pups,Serum,PAT3,Female,4.10755
EP20,Pups,Serum,PAT3,Female,4.442308
EP36,Pups,Serum,PAT3,Male,3.965065
EP38,Pups,Serum,PAT3,Male,5.256528
EP40,Pups,Serum,PAT3,Male,4.159369
EP30,Pups,Serum,PAT3,Male,5.310544
EP34,Pups,Serum,PAT3,Male,3.394613
EP35,Pups,Serum,PAT3,Male,3.953342
 EP22,Pups,Serum,PAT3,Female,4.396905
EP27,Pups,Serum,PAT3,Female,5.547352
EP28,Pups,Serum,PAT3,Female,3.954836
EP37,Pups,Serum,PAT3,Female,6.375923
EP39,Pups,Serum,PAT3,Female,6.631681
B18,Dams,Serum,Control,Female,13.71836
B25,Dams,Serum,Control,Female,47.43844
B26,Dams,Serum,Control,Female,9.799772
B11,Dams,Serum,PAT,Female,8.141161
B14,Dams,Serum,PAT,Female,9.392516
B17,Dams,Serum,PAT,Female,13.24229
B20,Dams,Serum,PAT,Female,8.669499
B21,Dams,Serum,PAT,Female,12.80431
B22,Dams,Serum,PAT,Female,11.59812
B23,Dams,Serum,PAT,Female,10.96381
