#SampleID	Type_of_sample	Days_post_transfer	Treatment	MouseID	Sex	MouseType	Description
Ci1.11	Inoculum	In	Control	C1	Male	Pup	Ci1.11
Ci2.11	Inoculum	In	Control	C2	Male	Pup	Ci2.11
Ci3.11	Inoculum	In	Control	C3	Male	Pup	Ci3.11
Pi1.11	Inoculum	In	PAT	P1	Male	Pup	Pi1.11
Pi2.11	Inoculum	In	PAT	P2	Male	Pup	Pi2.11
Pi3.11	Inoculum	In	PAT	P3	Male	Pup	Pi3.11
XR02.1	Fecal	1	Control	XR02	Female	Pup	XR02.1
XR04.1	Fecal	1	PAT	XR04	Female	Pup	XR04.1
XR05.1	Fecal	1	Control	XR05	Female	Pup	XR05.1
XR06.1	Fecal	1	Control	XR06	Female	Pup	XR06.1
XR07.1	Fecal	1	PAT	XR07	Female	Pup	XR07.1
XR08.1	Fecal	1	PAT	XR08	Female	Pup	XR08.1
XR09.1	Fecal	1	Control	XR09	Male	Pup	XR09.1
XR10.1	Fecal	1	PAT	XR10	Male	Pup	XR10.1
XR11.1	Fecal	1	PAT	XR11	Male	Pup	XR11.1
XR12.1	Fecal	1	Control	XR12	Male	Pup	XR12.1
XR13.1	Fecal	1	Control	XR13	Male	Pup	XR13.1
XR14.1	Fecal	1	PAT	XR14	Male	Pup	XR14.1
XR15.1	Fecal	1	Control	XR15	Male	Pup	XR15.1
XR16.1	Fecal	1	PAT	XR16	Male	Pup	XR16.1
XR02.6	Fecal	6	Control	XR02	Female	Pup	XR02.6
XR04.6	Fecal	6	PAT	XR04	Female	Pup	XR04.6
XR05.6	Fecal	6	Control	XR05	Female	Pup	XR05.6
XR06.6	Fecal	6	Control	XR06	Female	Pup	XR06.6
XR07.6	Fecal	6	PAT	XR07	Female	Pup	XR07.6
XR08.6	Fecal	6	PAT	XR08	Female	Pup	XR08.6
XR09.6	Fecal	6	Control	XR09	Male	Pup	XR09.6
XR10.6	Fecal	6	PAT	XR10	Male	Pup	XR10.6
XR11.6	Fecal	6	PAT	XR11	Male	Pup	XR11.6
XR12.6	Fecal	6	Control	XR12	Male	Pup	XR12.6
XR13.6	Fecal	6	Control	XR13	Male	Pup	XR13.6
XR14.6	Fecal	6	PAT	XR14	Male	Pup	XR14.6
XR15.6	Fecal	6	Control	XR15	Male	Pup	XR15.6
XR16.6	Fecal	6	PAT	XR16	Male	Pup	XR16.6
XR02.12	Fecal	12	Control	XR02	Female	Pup	XR02.12
XR04.12	Fecal	12	PAT	XR04	Female	Pup	XR04.12
XR05.12	Fecal	12	Control	XR05	Female	Pup	XR05.12
XR06.12	Fecal	12	Control	XR06	Female	Pup	XR06.12
XR07.12	Fecal	12	PAT	XR07	Female	Pup	XR07.12
XR08.12	Fecal	12	PAT	XR08	Female	Pup	XR08.12
XR09.12	Fecal	12	Control	XR09	Male	Pup	XR09.12
XR10.12	Fecal	12	PAT	XR10	Male	Pup	XR10.12
XR11.12	Fecal	12	PAT	XR11	Male	Pup	XR11.12
XR12.12	Fecal	12	Control	XR12	Male	Pup	XR12.12
XR13.12	Fecal	12	Control	XR13	Male	Pup	XR13.12
XR14.12	Fecal	12	PAT	XR14	Male	Pup	XR14.12
XR15.12	Fecal	12	Control	XR15	Male	Pup	XR15.12
XR16.12	Fecal	12	PAT	XR16	Male	Pup	XR16.12
