Treatment,Sex,Sample_ID,Cohort,Day,IgA_x1000
Control,Male,XR01,1,0,1.307491129
Control,Female,XR02,1,0,0.574931935
PAT,Male,XR03,1,0,1.37790659
Control,Female,XR05,2,0,0.337826817
Control,Female,XR06,2,0,0.744411574
PAT,Female,XR07,2,0,1.271143189
PAT,Female,XR08,2,0,0.466470051
Control,Male,XR09,3,0,0.258020595
PAT,Male,XR10,3,0,0.399293365
PAT,Male,XR11,3,0,0.404631316
Control,Male,XR12,3,0,0.54519498
Control,Male,XR13,3,0,0.373680256
PAT,Male,XR14,3,0,0.462322484
Control,Male,XR15,3,0,0.76126193
PAT,Male,XR16,3,0,1.004552896
Control,Male,XR01,1,1,1.239577011
Control,Female,XR02,1,1,0.704141426
PAT,Male,XR03,1,1,0.971590244
PAT,Female,XR04,1,1,0.850258278
Control,Female,XR05,2,1,0.818677976
Control,Female,XR06,2,1,0.317777297
PAT,Female,XR07,2,1,0.45524126
PAT,Female,XR08,2,1,1.48493692
Control,Male,XR09,3,1,0.238110366
PAT,Male,XR10,3,1,0.429613495
PAT,Male,XR11,3,1,0.58313936
Control,Male,XR12,3,1,0.491689964
Control,Male,XR13,3,1,0.357220135
PAT,Male,XR14,3,1,0.359755313
Control,Male,XR15,3,1,0.72507209
PAT,Male,XR16,3,1,1.238152594
Control,Male,XR01,1,6,1.14808904
Control,Female,XR02,1,6,2.817566962
PAT,Male,XR03,1,6,1.983560277
PAT,Female,XR04,1,6,1.234398023
Control,Female,XR05,2,6,1.537353846
Control,Female,XR06,2,6,0.798506289
PAT,Female,XR07,2,6,1.390695906
PAT,Female,XR08,2,6,1.70426594
Control,Male,XR09,3,6,0.32528071
PAT,Male,XR10,3,6,0.7577447
PAT,Male,XR11,3,6,0.902651186
Control,Male,XR12,3,6,1.207160091
Control,Male,XR13,3,6,0.668354276
PAT,Male,XR14,3,6,0.600667778
Control,Male,XR15,3,6,1.172564141
PAT,Male,XR16,3,6,1.934350311
Control,Male,XR01,1,9,2.428467418
Control,Female,XR02,1,9,9.326187766
PAT,Male,XR03,1,9,4.356054164
PAT,Female,XR04,1,9,2.862907842
Control,Female,XR05,2,9,8.58703935
Control,Female,XR06,2,9,3.767142414
PAT,Female,XR07,2,9,3.870923642
PAT,Female,XR08,2,9,2.832960852
Control,Male,XR09,3,9,0.801828046
PAT,Male,XR10,3,9,1.059747009
PAT,Male,XR11,3,9,1.719607787
Control,Male,XR12,3,9,1.983360541
Control,Male,XR13,3,9,4.138219786
PAT,Male,XR14,3,9,1.022775577
Control,Male,XR15,3,9,4.088710618
PAT,Male,XR16,3,9,4.02990214
Control,Male,XR01,1,12,3.604897895
Control,Female,XR02,1,12,13.72058945
PAT,Male,XR03,1,12,5.861500506
PAT,Female,XR04,1,12,6.593526486
Control,Female,XR05,2,12,9.682980663
Control,Female,XR06,2,12,13.73238557
PAT,Female,XR07,2,12,5.39891453
PAT,Female,XR08,2,12,6.42577167
Control,Male,XR09,3,12,18.17567479
PAT,Male,XR10,3,12,4.188848848
PAT,Male,XR11,3,12,7.400335036
Control,Male,XR12,3,12,14.81251124
Control,Male,XR13,3,12,13.09352613
PAT,Male,XR14,3,12,4.687264954
Control,Male,XR15,3,12,18.5428125
PAT,Male,XR16,3,12,4.351033723
Control,Male,XR01,1,20,7.030805794
Control,Female,XR02,1,20,10.61384871
PAT,Female,XR04,1,20,7.291006015
Control,Female,XR05,2,20,12.16657845
Control,Female,XR06,2,20,24.87710983
PAT,Female,XR07,2,20,10.6580032
PAT,Female,XR08,2,20,7.385786513
Control,Male,XR09,3,20,36.34010314
PAT,Male,XR10,3,20,15.99761172
PAT,Male,XR11,3,20,12.77931849
Control,Male,XR12,3,20,40.47241144
Control,Male,XR13,3,20,35.72708178
PAT,Male,XR14,3,20,14.65663182
Control,Male,XR15,3,20,32.73465063
PAT,Male,XR16,3,20,13.57425766
Control,Male,XR01,1,29,9.407952372
Control,Female,XR02,1,29,12.57098701
PAT,Female,XR04,1,29,9.292921512
Control,Female,XR05,2,29,26.11854528
Control,Female,XR06,2,29,18.93378113
PAT,Female,XR07,2,29,8.442685963
PAT,Female,XR08,2,29,13.73990284
Control,Male,XR09,3,29,36.15467468
PAT,Male,XR10,3,29,16.82769903
PAT,Male,XR11,3,29,18.80012122
Control,Male,XR12,3,29,27.45403571
Control,Male,XR13,3,29,24.33538156
PAT,Male,XR14,3,29,13.72344687
Control,Male,XR15,3,29,25.46343394
PAT,Male,XR16,3,29,17.22218914
Control,Male,XR01,1,40,10.50435326
Control,Female,XR02,1,40,14.71796508
PAT,Female,XR04,1,40,7.992878049
Control,Female,XR05,2,40,18.20675694
Control,Female,XR06,2,40,19.26171429
PAT,Female,XR07,2,40,13.11445685
PAT,Female,XR08,2,40,10.77322296
Control,Male,XR09,3,40,19.64544915
PAT,Male,XR10,3,40,13.25210286
PAT,Male,XR11,3,40,12.56807803
Control,Male,XR12,3,40,27.12118873
Control,Male,XR13,3,40,15.98689793
PAT,Male,XR14,3,40,14.49923333
Control,Male,XR15,3,40,36.44490675
PAT,Male,XR16,3,40,15.80374108
Control,Male,XR01,1,57,10.00187347
Control,Female,XR02,1,57,17.84817263
PAT,Female,XR04,1,57,10.4022296
Control,Female,XR05,2,57,32.61329677
Control,Female,XR06,2,57,26.6009927
PAT,Female,XR07,2,57,12.81735184
PAT,Female,XR08,2,57,24.52619333
Control,Male,XR09,3,57,23.68857955
PAT,Male,XR10,3,57,17.99305915
PAT,Male,XR11,3,57,19.60502128
Control,Male,XR12,3,57,24.67113173
Control,Male,XR13,3,57,20.07208122
